Account Number,Status,Error Message,Last Migration Date,
735814203,SUCCESS,"
",2021-02-04T13:04:23.113,
259889114,SUCCESS,"
",2021-02-04T13:04:20.186,
1131108569,FAILURE,"Account 1131108569 status is Delinquent, will not migrate account",2021-02-04T13:04:18.242,
706330684,FAILURE,"Account 706330684 status is Delinquent, will not migrate account",2021-02-04T13:04:18.058,
543024745,FAILURE,"Account 543024745 status is Delinquent, will not migrate account",2021-02-04T13:04:17.905,
416997269,SUCCESS,"
",2021-02-04T13:04:16.589,
438589687,SUCCESS,"
",2021-02-04T13:04:13.584,
123907504,FAILURE,"Account 123907504 status is Delinquent, will not migrate account",2021-02-04T13:04:11.619,
598508100,FAILURE,Error migrating account 598508100 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 598508100 MDC:69965427975660_1612443701731947,2021-02-04T13:04:11.359,
156959052,FAILURE,"Account 156959052 status is Delinquent, will not migrate account",2021-02-04T13:04:11.090,
515799583,SUCCESS,"
",2021-02-04T13:04:09.939,
363655729,SUCCESS,"
",2021-02-04T13:04:07.128,
1525503442,FAILURE,"Member not approved, will not migrate at this time. userId 20890101 legacyUserId 3023139464 status unconfirmed_zipcard MDC:69965427975660_1612443701731947",2021-02-04T13:04:05.142,
387236473,FAILURE,Error migrating account 387236473 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 387236473 MDC:69965427975660_1612443701731947,2021-02-04T13:04:03.644,
606042340,SUCCESS,"
",2021-02-04T13:04:02.296,
453253544,SUCCESS,"
",2021-02-04T13:03:59.489,
2747934254,SUCCESS,"
",2021-02-04T13:03:56.685,
2112806603,FAILURE,"Account 2112806603 status is Delinquent, will not migrate account",2021-02-04T13:03:54.872,
1724433014,FAILURE,Error migrating account 1724433014 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 1724433014 MDC:69965427975660_1612443701731947,2021-02-04T13:03:54.714,
353272559,SUCCESS,"
",2021-02-04T13:03:52.630,
717141755,FAILURE,Error migrating account 717141755 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 717141755 MDC:69965427975660_1612443701731947,2021-02-04T13:03:49.128,
770745853,FAILURE,"Account 770745853 status is Delinquent, will not migrate account",2021-02-04T13:03:48.902,
1482872188,FAILURE,"Account 1482872188 status is Delinquent, will not migrate account",2021-02-04T13:03:48.679,
80721940,FAILURE,"Account 80721940 status is Delinquent, will not migrate account",2021-02-04T13:03:48.528,
2319427346,FAILURE,Error migrating user 18254096 to account 2319427346 due to: members_user_not_found: invalid user response from members for 18254096 MDC:69965427975660_1612443701731947,2021-02-04T13:03:48.322,
2034317349,FAILURE,Error migrating account 2034317349 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 2034317349 MDC:69965427975660_1612443701731947,2021-02-04T13:03:47.033,
655264855,FAILURE,Error migrating account 655264855 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 655264855 MDC:69965427975660_1612443701731947,2021-02-04T13:03:46.839,
41387336,FAILURE,"Account 41387336 status is Delinquent, will not migrate account",2021-02-04T13:03:46.618,
748163299,SUCCESS,"
",2021-02-04T13:03:45.350,
105269988,SUCCESS,"
",2021-02-04T13:03:42.507,
1041260585,FAILURE,"Account 1041260585 status is Delinquent, will not migrate account",2021-02-04T13:03:40.781,
728577703,FAILURE,Error migrating account 728577703 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 728577703 MDC:69965427975660_1612443701731947,2021-02-04T13:03:40.627,
644733359,FAILURE,"Account 644733359 status is Delinquent, will not migrate account",2021-02-04T13:03:40.420,
50377141,SUCCESS,"
",2021-02-04T13:03:39.140,
1102695950,FAILURE,"Account 1102695950 status is Delinquent, will not migrate account",2021-02-04T13:03:37.161,
2379219744,SUCCESS,"
",2021-02-04T13:03:36.062,
445229105,FAILURE,"Account 445229105 status is Delinquent, will not migrate account",2021-02-04T13:03:33.691,
703806203,FAILURE,Error migrating account 703806203 to membership due to: membership_details_not_found: Unable to retrieve membership details for account with number 703806203 MDC:69965427975660_1612443701731947,2021-02-04T13:03:33.495,
72639917,SUCCESS,"
",2021-02-04T13:03:32.068,
